,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Cysteine and glycine-rich protein 3 ,P50462,21 kDa,3.28,23.04,5.42,3.57,3.46,12.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.88,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,4.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cysteine-rich protein 2 ,Q9DCT8,23 kDa,0.00,4.61,1.81,4.76,5.77,6.08,4.65,2.49,5.01,4.02,4.81,3.44,3.94,4.39,9.40,4.96,6.58,2.09,8.21,6.91,5.03,5.67,4.12,10.68,3.80,3.31,10.87,3.54,7.63,6.36,5.85,9.94,5.54,7.18,3.61,1.74,5.48,0.00,4.63,4.31,7.52,11.21,9.35,9.66,10.86
Cysteine-rich with EGF-like domain protein 2 ,Q9CYA0,38 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,1.15,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,3.71,3.45,2.25,1.87,2.34,0.00,0.00
Cytochrome b5 type B ,Q9CQX2,16 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cytochrome b-5/ isoform CRA_a ,G5E850 (+1),11 kDa,1.64,0.00,3.61,1.19,2.31,0.00,5.81,1.25,2.50,7.03,1.20,2.29,2.96,1.76,1.88,2.98,2.19,2.09,0.00,3.07,1.68,1.89,1.03,3.29,2.85,4.96,1.98,8.85,4.24,7.27,7.80,4.52,3.70,9.23,5.42,3.48,4.57,4.68,5.56,3.45,3.01,8.41,4.68,12.08,13.04
Cytochrome b-c1 complex subunit 2/ mitochondrial ,Q9DB77,48 kDa,14.78,23.04,19.86,19.02,19.62,15.20,12.78,14.95,7.51,5.02,6.02,1.15,8.88,12.30,15.05,5.96,8.78,7.32,9.03,13.05,6.71,8.50,14.42,11.50,7.60,9.92,9.88,5.31,5.93,5.45,7.80,12.65,14.78,10.26,9.03,6.96,13.70,9.36,9.27,6.89,6.01,5.60,4.68,0.00,3.26
Cytochrome b-c1 complex subunit 6/ mitochondrial ,P99028,10 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,1.97,2.64,1.88,3.97,0.00,0.00,3.28,2.30,0.84,0.00,0.00,0.82,0.00,3.31,2.96,0.89,1.70,1.82,0.00,2.71,2.77,2.05,3.61,0.00,1.83,2.81,0.00,3.45,2.25,1.87,2.34,0.00,1.09
Cytochrome b-c1 complex subunit 7 ,Q9D855,14 kDa,11.49,8.06,21.67,4.76,1.15,12.16,4.65,1.25,2.50,2.01,12.03,4.59,4.93,3.51,3.76,4.96,8.78,6.28,6.57,5.37,3.35,0.94,7.21,8.22,5.70,9.10,5.93,4.43,2.54,0.91,0.00,2.71,5.54,3.08,0.90,0.00,3.65,4.68,8.34,5.17,3.01,1.87,6.24,0.00,0.00
Cytochrome c oxidase subunit 5A/ mitochondrial ,P12787,16 kDa,18.06,4.61,16.25,9.51,4.62,7.60,4.65,6.23,15.03,13.06,13.23,12.62,7.89,5.27,8.46,12.90,10.97,8.37,2.46,7.67,4.19,5.67,15.44,1.64,9.50,8.27,8.89,3.54,4.24,5.45,8.77,6.33,6.47,9.23,5.42,8.70,5.48,6.55,7.41,7.76,3.76,3.74,8.57,15.70,9.78
Cytochrome c oxidase subunit 5B/ mitochondrial ,P19536,14 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,1.53,1.68,1.89,4.12,0.82,2.85,0.00,0.00,0.00,0.00,0.00,1.95,0.90,0.00,4.10,0.00,0.00,1.83,0.94,2.78,0.00,0.75,0.00,0.78,0.00,0.00
Cytochrome c oxidase subunit 6B1 ,P56391,10 kDa,8.21,5.76,9.03,9.51,8.08,9.12,4.65,4.98,7.51,6.03,8.42,8.03,2.96,5.27,4.70,4.96,7.68,4.19,4.93,5.37,8.38,3.78,2.06,1.64,0.00,3.31,6.91,5.31,7.63,3.64,1.95,4.52,3.70,3.08,5.42,0.00,8.22,7.49,8.34,8.62,7.52,4.67,10.13,0.00,7.60
Cytochrome c/ somatic ,P62897,12 kDa,22.99,17.28,25.28,16.64,10.39,15.20,11.62,14.95,10.02,6.03,12.03,13.76,11.83,15.81,18.81,12.90,19.75,13.60,18.88,11.51,25.98,31.18,19.56,18.07,5.70,13.23,17.78,12.39,17.80,10.91,9.74,9.04,12.01,11.28,10.84,8.70,16.44,16.85,16.68,20.68,18.79,17.75,26.50,19.32,24.99
Cytochrome P450 2F2 ,P33267,56 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77,4.10,0.00,0.00,0.00,0.00,0.93,1.72,0.00,0.00,0.00,7.25,2.17
Cytoskeleton-associated protein 4 ,Q8BMK4,64 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.82,3.80,0.00,0.00,0.00,0.00,0.00,2.92,1.81,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cytosol aminopeptidase ,Q9CPY7,56 kDa,0.00,2.30,3.61,0.00,0.00,1.52,8.13,2.49,0.00,0.00,0.00,0.00,4.93,3.51,0.00,2.98,0.00,2.09,8.21,0.00,0.00,3.78,4.12,1.64,0.95,0.83,1.98,1.77,0.85,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cytosolic acyl coenzyme A thioester hydrolase ,Q91V12,43 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00,3.35,0.00,0.00,3.29,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30,2.81,1.85,0.00,0.75,0.00,0.00,0.00,0.00
Cytosolic non-specific dipeptidase ,Q9D1A2,53 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.25,0.00,2.01,4.81,4.59,4.93,3.51,0.94,2.98,4.39,1.05,3.28,1.53,10.90,3.78,2.06,3.29,1.90,6.62,1.98,0.89,0.85,0.91,3.90,0.90,6.47,4.10,6.32,0.00,9.13,3.74,7.41,6.89,6.01,0.93,4.68,2.42,3.26
DAZ-associated protein 1 ,Q9JII5,43 kDa,0.00,3.46,0.00,3.57,4.62,1.52,2.32,0.00,0.00,6.03,1.20,1.15,3.94,7.91,1.88,3.97,1.10,3.14,3.28,0.00,1.68,3.78,0.00,0.00,2.85,2.48,0.99,0.00,2.54,0.00,0.00,0.00,0.92,0.00,0.90,0.00,6.39,3.74,5.56,3.45,3.76,2.80,4.68,0.00,1.09
Decorin ,P28654,40 kDa,6.57,1.15,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.86,0.00,3.74,0.78,0.00,4.35
Dehydrogenase/reductase SDR family member 11 ,Q3U0B3,28 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,1.87,0.93,4.31,0.00,1.87,0.00,0.00,0.00
Delta(3/5)-Delta(2/4)-dienoyl-CoA isomerase/ mitochondrial ,O35459,36 kDa,4.93,12.67,5.42,11.89,15.01,12.16,8.13,17.44,13.77,18.08,15.64,12.62,14.79,12.30,8.46,19.85,16.46,20.93,6.57,15.35,8.38,14.17,18.53,12.32,17.11,7.44,17.78,17.70,14.41,14.54,21.44,17.17,12.93,21.54,8.13,3.48,13.70,13.11,20.39,12.93,13.53,7.47,11.69,13.28,18.47
Delta-aminolevulinic acid dehydratase ,P10518,36 kDa,0.00,1.15,0.00,1.19,1.15,0.00,2.32,3.74,1.25,4.02,6.02,1.15,2.96,0.00,1.88,6.95,1.10,1.05,0.00,0.00,5.03,0.00,5.15,0.00,2.85,0.83,1.98,0.00,0.00,0.91,3.90,4.52,4.62,0.00,0.90,0.00,1.83,2.81,5.56,2.59,2.25,2.80,3.12,0.00,0.00
Dermatopontin ,Q9QZZ6,24 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.25,1.25,1.00,1.20,1.15,0.99,0.00,0.00,1.99,1.10,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,1.98,0.00,0.00,2.73,0.00,2.71,0.92,1.03,0.90,0.00,1.83,1.87,1.85,2.59,3.76,6.54,3.90,7.25,7.60
Desmin ,P31001,53 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.55,0.00,0.00,5.31,0.00,0.00,0.00,0.00,6.47,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,7.25,6.52
Desmoplakin ,E9Q557,333 kDa,0.00,39.17,3.61,0.00,0.00,27.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Destrin ,Q9R0P5,19 kDa,0.00,2.30,0.00,3.57,5.77,6.08,5.81,6.23,5.01,6.03,7.22,4.59,5.92,7.03,5.64,5.96,3.29,4.19,4.11,5.37,5.87,3.78,6.18,8.22,3.80,4.96,7.90,10.62,2.54,3.64,3.90,5.42,3.70,4.10,9.03,6.96,3.65,11.23,6.49,6.89,6.76,3.74,7.02,0.00,0.00
Developmentally regulated GTP binding protein 1 ,Q8CHR8 (+1),41 kDa,0.00,3.46,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,2.64,0.94,0.00,0.00,0.00,2.46,3.07,0.00,1.89,0.00,1.64,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dihydrolipoyl dehydrogenase/ mitochondrial ,O08749,54 kDa,19.70,9.22,19.86,19.02,18.47,22.80,20.91,26.15,28.80,13.06,15.64,17.21,15.78,11.42,22.57,23.82,24.14,18.83,18.06,21.49,10.90,16.06,19.56,17.25,17.11,23.98,28.65,21.24,21.19,27.27,25.33,24.41,19.40,25.64,27.99,6.96,27.39,12.17,11.12,14.65,18.79,12.14,17.93,19.32,16.30
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex/ mitochondrial ,Q9D2G2,49 kDa,3.28,6.91,5.42,2.38,3.46,6.08,4.65,2.49,10.02,1.00,0.00,0.00,3.94,8.78,9.40,4.96,2.19,9.42,4.93,12.28,10.06,8.50,5.15,0.82,5.70,5.79,1.98,5.31,2.54,3.64,9.74,5.42,7.39,8.20,0.90,0.00,10.96,6.55,6.49,6.03,9.02,4.67,3.12,2.42,11.95
Dihydropyrimidinase-related protein 2 ,O08553,62 kDa,37.76,36.87,18.06,36.85,54.25,63.84,48.78,58.54,45.08,42.18,40.90,51.62,71.99,43.92,40.44,56.57,62.55,56.50,55.01,55.25,36.04,65.20,82.37,52.58,74.13,62.02,74.09,69.92,72.04,89.08,74.05,73.21,81.30,73.84,57.79,128.80,69.40,72.08,70.43,81.01,67.64,99.01,90.43,95.40,79.31
Dihydropyrimidinase-related protein 3 ,Q62188,62 kDa,0.00,21.89,14.45,14.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.06,10.35,0.00,0.00,0.00,17.24,15.35,0.00,0.00,17.50,11.50,14.26,0.00,12.84,0.00,11.02,14.54,21.44,19.89,24.02,14.36,11.74,0.00,11.87,14.04,12.97,12.07,12.03,15.88,0.00,0.00,0.00
Dipeptidase 1 ,P31428,46 kDa,0.00,0.00,0.00,2.38,5.77,4.56,9.29,3.74,3.76,15.07,14.44,4.59,5.92,7.03,9.40,8.93,6.58,6.28,9.85,12.28,8.38,7.56,11.33,8.22,13.31,10.75,5.93,7.08,8.48,8.18,6.82,14.46,9.24,16.41,8.13,8.70,17.35,17.79,17.61,16.37,18.04,20.55,28.84,27.78,22.81
Dipeptidyl peptidase 1 ,P97821,52 kDa,3.28,0.00,0.00,2.38,3.46,3.04,3.48,4.98,0.00,1.00,1.20,5.74,4.93,1.76,1.88,0.00,2.19,2.09,2.46,6.91,3.35,3.78,4.12,4.11,3.80,5.79,0.00,1.77,4.24,3.64,4.87,5.42,4.62,4.10,4.52,0.00,18.26,8.43,2.78,5.17,0.75,3.74,4.68,4.83,4.35
DNA-(apurinic or apyrimidinic site) lyase ,P28352,35 kDa,13.14,26.50,3.61,7.13,11.54,3.04,5.81,4.98,11.27,1.00,8.42,5.74,6.90,10.54,11.29,11.91,10.97,10.46,18.06,15.35,13.41,10.39,4.12,9.04,1.90,2.48,8.89,3.54,3.39,3.64,3.90,3.62,4.62,2.05,4.52,0.00,8.22,6.55,4.63,6.89,4.51,3.74,9.35,4.83,4.35
DnaJ homolog subfamily A member 1 ,P63037,45 kDa,4.93,8.06,7.22,5.94,5.77,3.04,5.81,6.23,5.01,6.03,7.22,5.74,2.96,6.15,5.64,4.96,7.68,14.65,2.46,9.21,0.84,3.78,11.33,9.04,6.65,6.62,2.96,6.20,5.09,7.27,5.85,7.23,6.47,2.05,8.13,0.00,3.65,3.74,2.78,2.59,3.76,3.74,7.80,0.00,0.00
DnaJ homolog subfamily B member 11 ,Q99KV1,41 kDa,1.64,0.00,5.42,4.76,4.62,3.04,1.16,3.74,0.00,4.02,0.00,0.00,0.00,0.88,0.00,0.00,0.00,3.14,0.82,0.00,0.00,0.94,0.00,0.00,4.75,0.00,0.99,3.54,0.85,1.82,2.92,2.71,6.47,1.03,0.00,0.00,3.65,1.87,0.00,0.00,0.75,0.00,0.00,0.00,0.00
DnaJ homolog subfamily C member 3 ,Q91YW3,57 kDa,1.64,0.00,0.00,0.00,2.31,0.00,0.00,0.00,1.25,0.00,0.00,1.15,0.00,0.00,0.00,0.99,0.00,2.09,0.00,0.00,1.68,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DnaJ homolog subfamily C member 8 ,Q6NZB0,30 kDa,0.00,2.30,10.83,0.00,2.31,3.04,4.65,0.00,1.25,1.00,6.02,4.59,0.00,1.76,1.88,0.00,1.10,1.05,1.64,6.14,7.54,7.56,2.06,4.11,2.85,0.00,3.95,3.54,4.24,5.45,0.97,0.90,3.70,6.15,6.32,0.00,5.48,6.55,4.63,6.03,8.27,8.41,6.24,7.25,8.69
Drebrin-like protein ,Q62418,49 kDa,0.00,0.00,0.00,1.19,2.31,0.00,0.00,0.00,0.00,2.01,0.00,2.29,1.97,2.64,3.76,2.98,0.00,0.00,4.11,6.14,0.84,1.89,0.00,4.93,1.90,2.48,0.00,2.66,5.93,0.91,0.00,1.81,0.00,2.05,3.61,1.74,10.96,7.49,4.63,3.45,5.26,0.00,0.00,0.00,1.09
D-tyrosyl-tRNA(Tyr) deacylase 1 ,Q9DD18,23 kDa,6.57,0.00,5.42,4.76,8.08,4.56,5.81,1.25,3.76,6.03,4.81,4.59,4.93,6.15,2.82,3.97,3.29,0.00,2.46,5.37,3.35,3.78,4.12,3.29,4.75,4.96,2.96,3.54,3.39,3.64,2.92,3.62,3.70,4.10,3.61,0.00,3.65,3.74,4.63,6.03,4.51,3.74,1.56,2.42,1.09
Dynactin 6/ isoform CRA_b ,D3Z6H3 (+1),20 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,1.68,0.00,0.00,1.64,1.90,0.83,1.98,0.00,0.00,0.00,0.00,3.62,3.70,1.03,2.71,0.00,1.83,1.87,2.78,5.17,2.25,1.87,0.00,0.00,1.09
Dynactin subunit 2 ,Q99KJ8,44 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,2.01,3.61,1.15,2.96,0.00,0.00,0.99,0.00,5.23,0.00,0.00,4.19,1.89,0.00,3.29,4.75,4.13,3.95,6.20,4.24,4.55,9.74,7.23,12.93,7.18,2.71,0.00,5.48,7.49,7.41,1.72,5.26,3.74,2.34,2.42,2.17
Dynein light chain 2/ cytoplasmic ,D6RIN4,6 kDa,1.64,4.61,0.00,0.00,1.15,0.00,3.48,0.00,0.00,7.03,1.20,2.29,0.99,3.51,2.82,0.00,0.00,1.05,2.46,8.44,5.87,1.89,0.00,1.64,0.00,0.00,2.96,8.85,7.63,7.27,2.92,4.52,3.70,4.10,9.93,0.00,7.30,4.68,5.56,5.17,8.27,5.60,7.02,4.83,7.60
Dynein light chain roadblock-type 1 ,P62627,11 kDa,0.00,0.00,0.00,0.00,0.00,0.00,2.32,3.74,5.01,2.01,1.20,3.44,0.00,2.64,3.76,0.00,2.19,3.14,0.00,2.30,7.54,1.89,3.09,1.64,0.00,2.48,1.98,0.89,0.00,0.00,3.90,3.62,3.70,3.08,2.71,0.00,1.83,0.94,0.00,1.72,0.00,1.87,2.34,2.42,2.17
Dystroglycan ,Q62165,97 kDa,1.64,0.00,3.61,2.38,4.62,0.00,4.65,1.25,6.26,0.00,1.20,1.15,5.92,3.51,4.70,4.96,4.39,3.14,3.28,3.84,1.68,2.83,3.09,5.75,1.90,1.65,1.98,6.20,4.24,5.45,3.90,5.42,4.62,5.13,5.42,3.48,5.48,4.68,5.56,3.45,3.01,3.74,4.68,2.42,5.43
E3 ubiquitin-protein ligase HUWE1 ,Q7TMY8,483 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00
E3 ubiquitin-protein ligase NEDD4 ,P46935,103 kDa,0.00,2.30,0.00,0.00,0.00,0.00,1.16,4.98,1.25,0.00,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,0.00,2.30,4.19,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ear6 protein ,Q923L7,17 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.31,1.98,6.20,5.93,5.45,7.80,5.42,6.47,8.20,3.61,0.00,5.48,1.87,0.93,2.59,0.00,0.00,6.24,0.00,6.52
EF-hand domain-containing protein D2 ,Q9D8Y0,27 kDa,0.00,2.30,0.00,4.76,9.23,0.00,3.48,2.49,1.25,0.00,0.00,0.00,0.00,0.00,0.94,1.99,0.00,0.00,1.64,4.60,5.03,1.89,0.00,5.75,1.90,4.96,2.96,5.31,3.39,1.82,0.00,0.00,0.00,2.05,3.61,0.00,3.65,4.68,3.71,6.03,2.25,0.00,2.34,2.42,0.00
EGF-containing fibulin-like extracellular matrix protein 2 ,Q9WVJ9,49 kDa,6.57,0.00,0.00,0.00,0.00,0.00,2.32,4.98,5.01,0.00,1.20,0.00,0.99,0.00,1.88,0.00,2.19,2.09,0.00,0.77,0.00,1.89,2.06,0.00,0.00,0.83,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,2.25,0.00,3.12,0.00,0.00
EH domain-containing protein 4 ,Q9EQP2,61 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,1.95,0.00,0.00,1.03,0.00,0.00,0.00,0.94,0.93,5.17,0.75,0.93,1.56,0.00,0.00
Elastin ,P54320,72 kDa,0.00,4.61,7.22,3.57,4.62,7.60,8.13,4.98,1.25,5.02,2.41,2.29,1.97,0.88,2.82,1.99,0.00,7.32,0.82,3.84,4.19,6.61,5.15,4.11,3.80,6.62,9.88,5.31,11.02,6.36,5.85,5.42,6.47,4.10,13.55,6.96,0.00,5.62,0.00,2.59,1.50,0.00,0.00,0.00,4.35
ELAV-like protein 1 ,P70372,36 kDa,6.57,1.15,10.83,4.76,8.08,4.56,19.75,12.45,17.53,7.03,14.44,8.03,7.89,9.66,7.52,8.93,7.68,12.56,13.96,10.74,13.41,11.34,8.24,9.04,6.65,9.92,3.95,8.85,10.17,10.00,8.77,7.23,7.39,9.23,3.61,1.74,0.00,1.87,7.41,1.72,3.76,8.41,3.12,7.25,9.78
Electron transfer flavoprotein subunit beta ,Q9DCW4,28 kDa,0.00,2.30,0.00,0.00,2.31,3.04,0.00,3.74,1.25,2.01,0.00,0.00,2.96,0.88,0.00,0.00,0.00,0.00,1.64,0.77,6.71,3.78,3.09,3.29,5.70,0.00,2.96,1.77,2.54,2.73,0.97,0.00,0.00,6.15,0.00,0.00,3.65,0.94,1.85,3.45,5.26,0.93,3.12,3.62,5.43
Elongation factor 1-alpha 1 ,P10126,50 kDa,54.18,44.93,52.36,34.48,33.48,41.04,23.23,23.66,21.29,15.07,21.66,40.15,27.61,19.33,18.81,17.87,21.95,16.74,42.70,26.86,35.20,31.18,30.89,32.86,36.12,28.94,26.67,19.47,26.27,20.00,26.31,19.89,17.55,18.46,24.38,59.18,10.96,10.30,18.53,18.96,21.04,18.68,21.05,20.53,23.90
Elongation factor 1-alpha 2 ,P62631,50 kDa,32.84,19.59,25.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elongation factor 1-beta ,O70251,25 kDa,13.14,2.30,10.83,4.76,8.08,6.08,8.13,4.98,5.01,4.02,6.02,2.29,4.93,2.64,2.82,7.94,4.39,6.28,0.00,3.07,3.35,2.83,0.00,1.64,0.00,6.62,3.95,7.08,4.24,1.82,5.85,7.23,5.54,5.13,3.61,0.00,3.65,5.62,0.93,0.00,2.25,3.74,2.34,4.83,4.35
Elongation factor 1-delta ,P57776,31 kDa,13.14,4.61,14.45,7.13,8.08,12.16,9.29,9.96,8.77,5.02,4.81,2.29,3.94,1.76,6.58,5.96,1.10,8.37,4.93,3.07,5.03,5.67,5.15,3.29,6.65,2.48,0.00,2.66,0.00,2.73,0.97,0.00,3.70,1.03,0.90,0.00,2.74,4.68,5.56,2.59,0.75,3.74,0.00,0.00,2.17
Elongation factor 2 ,P58252,95 kDa,9.85,2.30,12.64,11.89,5.77,0.00,4.65,1.25,0.00,3.01,1.20,2.29,8.88,9.66,0.94,1.99,0.00,6.28,7.39,4.60,2.51,9.45,4.12,4.93,5.70,0.00,0.00,2.66,0.00,0.00,0.00,1.81,1.85,0.00,0.00,0.00,0.00,2.81,0.93,0.86,0.75,0.00,0.00,0.00,1.09
Elongation factor Tu/ mitochondrial ,Q8BFR5 (+1),50 kDa,1.64,14.98,5.42,7.13,4.62,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Endonuclease G/ mitochondrial ,O08600,32 kDa,0.00,8.06,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Endoplasmic reticulum resident protein 29 ,P57759,29 kDa,8.21,3.46,12.64,2.38,11.54,6.08,8.13,7.47,5.01,8.04,0.00,5.74,6.90,5.27,7.52,4.96,4.39,4.19,4.11,3.07,8.38,4.72,9.27,3.29,4.75,8.27,5.93,3.54,5.93,8.18,8.77,9.94,7.39,4.10,7.22,0.00,6.39,3.74,4.63,4.31,4.51,1.87,6.24,4.83,4.35
Endoplasmic reticulum resident protein 44 ,Q9D1Q6,47 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.10,4.19,2.46,3.07,2.51,4.72,2.06,3.29,3.80,3.31,0.99,2.66,0.00,1.82,1.95,2.71,2.77,4.10,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Endoplasmin ,P08113 (+1),92 kDa,8.21,0.00,10.83,7.13,3.46,7.60,1.16,4.98,8.77,4.02,4.81,0.00,0.99,3.51,1.88,3.97,4.39,10.46,1.64,2.30,10.06,4.72,1.03,0.00,12.36,5.79,1.98,9.74,6.78,6.36,4.87,2.71,5.54,4.10,3.61,0.00,0.91,1.87,1.85,3.45,0.00,1.87,2.34,3.62,4.35
Endothelial cell-selective adhesion molecule ,Q925F2,42 kDa,4.93,1.15,0.00,4.76,9.23,0.00,3.48,2.49,6.26,2.01,9.62,5.74,0.99,1.76,1.88,4.96,2.19,5.23,0.82,5.37,3.35,5.67,8.24,3.29,10.45,6.62,5.93,11.51,4.24,8.18,9.74,2.71,11.09,13.33,0.00,12.18,12.78,11.23,8.34,4.31,9.02,10.27,10.13,12.08,17.38
